# of Use,# কার্যকরী
%1$s incl tax.,%1$s ট্যাক্স সহকারে.
%s - %s,%s - %s
%s Item(s),%s পদ(গুলো)
Use Default Value,প্রাথমিক মান ব্যবহার করুন
Use in advanced search,উন্নত অনুসন্ধানে ব্যবহার করুন
Use In Layered Navigation,Use In Layered Navigation
Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown'),Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')
Use in quick search,Use in quick search
Use In Search Results Layered Navigation,Use In Search Results Layered Navigation
Use To Create Configurable Product,Use To Create Configurable Product
Values Required,মূল্য প্রয়োজনীয়
Varchar,Varchar
View as,এভাবে দেখুন 
Virtual Product,ভার্চুয়াল পণ্য
Visibility,দৃষ্টিপাত
Visible,দৃশ্যমান
Visible on Catalog Pages on Front-end,Visible on Catalog Pages on Front-end
Watermark,জলছাপ
Watermark Default Size,জলছাপের প্রকৃত আকার
Watermark Position,জলছাপের স্থান
We Also Recommend, আমরা আরো সুপারিশ করছি 
Website,ওয়েবসাইট
Websites,ওয়েব সাইটগুলো
Yes,হ্যাঁ 
Yes/No,হ্যাঁ / না
You cannot delete this attribute,আপনি এই এট্রিবিউটটি মুছতে পারবেন না 
You cannot edit this attribute,আপনি এই এট্রিবিউটটি সংশোধন করতে পারবেন না
You cannot remove system attribute from this set.,আপনি এই সেট থেকে সিস্টেম এট্রিবিউট মুছতে পারবেন না।
You cannot update this attribute,আপনি এই এট্রিবিউটটি নবায়ন করতে পারবেন না
You have no items to compare.,আপনি কোন পণ্য তুলনা করছেন না।
You may also be interested in the following product(s),এই পণ্য(গুলো) নিয়েও আপনি উৎসাহী হতে পারেন
Zoom In,বড় করে দেখান
Zoom Out,ছোট করে দেখান 
[GLOBAL],[সার্বজনীন]
Seller,বিক্রেতা
Phone,ফোন
Latest,সর্বশেষ
Seller ID,বিক্রেতার আইডি
Compare Products,পণ্য তুলনা করুন 
